Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Total_Test_Results,Case_Fatality_Ratio
Maryland,US,2020-04-16,39.0639,-76.8021,10784,319,736.0,10465.0,24.0,181.44694855666046,58843.0,2451.0,2.958086053412463,84000024.0,USA,990.0670246587144,22.72811572700297,,
Iowa,US,2020-04-16,42.0115,-93.2105,2141,60,987.0,2081.0,19.0,81.69532489822427,20675.0,175.0,2.8024287716020555,84000019.0,USA,788.9074461797228,8.173750583839327,,
Georgia,US,2020-04-16,33.0406,-83.6431,15669,587,,15082.0,13.0,154.53587803530252,67939.0,3108.0,3.7462505584274686,84000013.0,USA,670.0499724194535,19.835343672219032,,
Wyoming,US,2020-04-16,42.756,-107.3025,296,2,148.0,294.0,56.0,59.52859786018825,6427.0,43.0,0.6756756756756757,84000056.0,USA,1292.5347920521276,14.527027027027025,,
District of Columbia,US,2020-04-16,38.8974,-77.0268,2350,81,552.0,2269.0,11.0,332.97957205748787,12150.0,313.0,3.4468085106382977,84000011.0,USA,1721.5752342546716,13.319148936170215,,
Diamond Princess,US,2020-04-16,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888.0,USA,,,,
Delaware,US,2020-04-16,39.3185,-75.5071,2070,55,378.0,2015.0,10.0,212.5771747569226,13350.0,209.0,2.6570048309178738,84000010.0,USA,1370.9687357511675,10.096618357487925,,
Connecticut,US,2020-04-16,41.5978,-72.7554,15884,971,,14913.0,9.0,445.5181307984463,53122.0,1926.0,6.113069755729035,84000009.0,USA,1489.9782261568287,12.12540921682196,,
Colorado,US,2020-04-16,39.0598,-105.3111,8286,355,,7931.0,8.0,146.21975350165957,40533.0,1636.0,4.284335022930244,84000008.0,USA,715.2697645043165,19.744146753560226,,
California,US,2020-04-16,36.1162,-119.6816,27677,956,,26721.0,6.0,70.58906944442319,246400.0,5031.0,3.4577446977634865,84000006.0,USA,628.4332373850444,18.177548144668854,,
